"Date","Price","Open","High","Low","Change %"
"Aug 16, 2018","3,021.65","3,050.00","3,052.00","3,007.70","-0.91%"
"Aug 15, 2018","3,049.50","3,014.11","3,064.05","3,014.11","1.19%"
"Aug 14, 2018","3,013.74","3,002.97","3,013.95","2,984.82","0.31%"
"Aug 13, 2018","3,004.35","2,945.50","3,016.40","2,944.21","2.05%"
"Aug 10, 2018","2,944.00","2,912.80","2,950.90","2,911.52","1.08%"
"Aug 09, 2018","2,912.50","2,911.35","2,925.25","2,911.00","0.07%"
"Aug 08, 2018","2,910.35","2,892.25","2,917.40","2,892.25","0.50%"
"Aug 07, 2018","2,896.00","2,904.30","2,906.75","2,895.00","-0.17%"
"Aug 06, 2018","2,900.80","2,892.60","2,905.75","2,890.06","0.28%"
"Aug 03, 2018","2,892.60","2,905.15","2,907.25","2,890.19","-0.44%"
"Aug 02, 2018","2,905.50","2,896.60","2,914.25","2,896.10","0.31%"
"Aug 01, 2018","2,896.50","2,890.10","2,901.95","2,884.40","0.21%"
"Jul 31, 2018","2,890.50","2,872.50","2,892.60","2,872.40","0.63%"
"Jul 30, 2018","2,872.50","2,887.50","2,888.50","2,870.26","-0.50%"
"Jul 27, 2018","2,887.00","2,883.90","2,890.50","2,873.60","0.12%"
"Jul 26, 2018","2,883.68","2,883.97","2,892.68","2,879.76","-0.03%"
"Jul 25, 2018","2,884.50","2,894.00","2,895.50","2,873.42","-0.36%"
"Jul 24, 2018","2,895.00","2,908.70","2,914.49","2,889.04","-0.45%"
"Jul 23, 2018","2,908.20","2,868.50","2,909.30","2,868.50","1.30%"
"Jul 20, 2018","2,871.00","2,884.35","2,885.38","2,871.00","-0.40%"
"Jul 19, 2018","2,882.43","2,863.74","2,891.28","2,862.16","0.60%"
"Jul 18, 2018","2,865.17","2,870.50","2,890.10","2,862.25","-0.17%"
"Jul 17, 2018","2,870.00","2,875.50","2,889.00","2,868.28","-0.19%"
"Jul 16, 2018","2,875.50","2,857.95","2,877.95","2,850.75","0.57%"
"Jul 13, 2018","2,859.20","2,876.35","2,881.50","2,855.05","-0.54%"
"Jul 12, 2018","2,874.80","2,894.75","2,896.50","2,869.74","-0.73%"
"Jul 11, 2018","2,895.90","2,871.80","2,898.40","2,864.90","0.87%"
"Jul 10, 2018","2,870.97","2,884.43","2,885.93","2,862.97","-0.43%"
"Jul 09, 2018","2,883.50","2,875.53","2,892.93","2,867.58","0.33%"
"Jul 06, 2018","2,873.95","2,877.40","2,878.90","2,858.50","-0.10%"
"Jul 05, 2018","2,876.90","2,905.30","2,909.80","2,872.54","-1.11%"
"Jul 04, 2018","2,909.30","2,912.80","2,913.80","2,905.50","0.04%"
"Jul 03, 2018","2,908.15","2,930.40","2,931.70","2,896.51","-0.78%"
"Jul 02, 2018","2,931.05","2,931.05","2,942.28","2,929.08","0.00%"
"Jun 29, 2018","2,931.05","2,948.30","2,951.30","2,917.85","-0.63%"
"Jun 28, 2018","2,949.68","2,948.97","2,957.57","2,934.03","0.11%"
"Jun 27, 2018","2,946.50","2,931.15","2,948.20","2,917.05","0.55%"
"Jun 26, 2018","2,930.50","2,916.80","2,933.75","2,902.00","0.42%"
"Jun 25, 2018","2,918.30","2,916.50","2,943.10","2,906.63","0.06%"
"Jun 22, 2018","2,916.50","2,952.00","2,955.50","2,909.20","-1.25%"
"Jun 21, 2018","2,953.50","2,926.50","2,962.95","2,915.29","0.97%"
"Jun 20, 2018","2,925.00","2,931.50","2,931.50","2,899.10","0.06%"
"Jun 19, 2018","2,923.25","2,922.55","2,950.80","2,919.33","-0.03%"
"Jun 18, 2018","2,924.05","2,895.50","2,932.95","2,883.72","0.99%"
